FID,place_name_mapping,place_name_gazetteer,gaz_id,altitude,feature_type_name,narrative,gazetteer,latitude,longitude,geometry,scar_common_id,country_name,country_id
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c32,"Acuña, roca","Acuña, roca",100014,,Island,"Ubicada en el canal Lemaire, frente a bahía Deloncle en la península Antártica. Descripta por el ARA ""ZAPIOLA"" en la Campaña Antártica 1974-75 y nominada en recuerdo del Marinero de 1ra. Pedro Acuña, integrante de la dotación del segundo viaje de la Corbeta ""URUGUAY"" a la Antártida para relevar al personal del Observatorio Orcadas y obtener noticias de la Expedición Francesa del Dr. Charcot en 1904. Este topónimo fue aprobado por la C.C.G. en 1978. Publicado por primera vez en TSAA2. SHN carta H-715.",ARG,-63.3,-57.9333,POINT (-57.933333 -63.3),51,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c33,"Adams, cabo","Adams, cabo",100016,,Cape,"En el extremo S de península Bowman y en la entrada oriental de isla Gardner. Descubierta por la RARE 1947-48 comandada por Ronne, quien lo bautizó en homenaje al Teniente Charles J. Adams de la USAAF, piloto de la expedición. Extraído de la relación de toponimia antártica y adoptado en cartografía y publicaciones en julio de 1959. Figuró por primera vez en la carta N""P""-1 del año 1952 y fue publicado en TSAA2. SHN carta H-7.",ARG,-75.0333,-62.3333,POINT (-62.333333 -75.033333),65,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c34,"Adie, caleta","Adie, caleta",100017,,Inlet,"Situada al N de la península Churchill, al E de la península Antártica. Bautizada en honor de R.J.Adie, geólogo sudafricano del FIDS en bahía Esperanza (1947) y bahía Margarita (1948-49). El topónimo fue propuesto por J.M. Wordie y B.B. Roberts en febrero de 1949, luego de los relevamientos de S.J. Francis en diciembre de 1947. El nombre figura en una lista de topónimos antárticos (156 HN. d.) que en julio de 1959 se envió al Ministerio de Relaciones Exteriores. Fue publicado por primera vez en la carta 121 del año 1954 y en TSAA1. SHN carta H-7.",ARG,-66.4167,-62.3333,POINT (-62.333333 -66.416667),80,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c35,"Adolph, islotes","Adolph, islotes",100018,,Island,"Pequeños islotes que se encuentran al sur del pasaje Lewis, en el archipiélago Biscoe. Fueron bautizados en recuerdo de Edward Frederick Adolph (nacido en 1895), fisiólogo americano especializado en las reacciones del cuerpo humano sobre el medio ambiente helado. SHN carta H-716.",ARG,-66.3333,-67.1833,POINT (-67.183333 -66.333333),90,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c36,"Adriasola, cabo","Adriasola, cabo",100019,,Cape,"En costa SW de isla Belgrano. Fue cartografiado por la Expedición Antártica Francesa (1903-05) que dirigió el Dr. J.B. Charcot quien lo denominó en honor de su amigo J. Adriasola, residente en la localidad de Punta Arenas (Chile). El topónimo figura en la lista que el SHN envió al Ministerio de Relaciones Exteriores (156 HN. d.) en julio de 1959. Fue publicado en TSAA1. SHN carta H-717.",ARG,-67.65,-69.15,POINT (-69.15 -67.65),92,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c37,"Aeronáutica Argentina, cerro","Aeronáutica Argentina, cerro",100020,,Mountain,"Próximo a la península Joerg, en el fondo de la ensenada Trail y en costa E de la península Antártica. Fue nominado por el General Hernán Pujato en el año 1955 en homenaje a esa actividad. Publicado por primera vez en TSAA2. SHN, carta H-7.",ARG,-68.1333,-65.9167,POINT (-65.916667 -68.133333),13137,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c38,"Afuera, islote (I. Hoseason)","Afuera, islote (I. Hoseason)",100021,,,,ARG,-63.75,-61.8333,POINT (-61.833333 -63.75),104,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c39,"Afuera, islotes","Afuera, islotes",100022,,Island,"En las proximidades del cabo Murray, estrecho de Gerlache. Constituyen un grupo de islotes rocosos cartografiados por primera vez por la Comisión Antártica Argentina 1952-53. El topónimo es descriptivo y se debe a su posición con respecto a la isla Murray. Figura en la relación toponímica enviada en julio de 1959 al Ministerio de relaciones Exteriores por el SIHN. SHN carta H-714. Figuran por primera vez en carta 102 del año 1949. Fue publicado en TSAA1.",ARG,-64.3333,-62.5667,POINT (-62.566667 -64.333333),103,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c3a,"Agassiz, cabo","Agassiz, cabo",100023,,Cape,"Es la punta E de la península Kenyon, costa E de la península Antártica. El cabo fue descubierto en 1940 por la Expedición del Servicio Antártico de los EE.UU. que lo denominó Joerg en recuerdo de un naturalista norteamericano, quien noblemente solicitó al Comité norteamericano para el Asesoramiento de la Toponimia Antártica, que lo cambiara por el del Dr. Luis Agassiz (1807-73) geólogo y naturalista suizo autor de ""Estudio sobre los glaciares"". El topónimo figura en la relación toponímica enviada por el SIHN al Ministerio de Relaciones Exteriores en julio de 1959. No obstante, había figurado en la carta N""P""-1 del año 1952 y con posterioridad en TSAA1. SHN carta H-7.",ARG,-68.4667,-62.6167,POINT (-62.616667 -68.466667),106,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c3b,"Agnese, punta","Agnese, punta",100024,,Point,"En la costa NW de la isla 25 de Mayo, entre punta Stigant e isla Owen. Bautizada en recuerdo del Cabo de Mar de 2da. Horacio Agnese, integrante de la dotación del primer viaje de la Corbeta ""URUGUAY"", en su memorable viaje de rescate de la expedición sueca del Dr. Otto Nordenskjöld en el año 1903. El topónimo fue aprobado por la C.C.G. en 1978. Figura por primera vez en la publicación TSAA2. SHN carta H-711.",ARG,-61.9667,-58.5,POINT (-58.5 -61.966667),3360,Argentina,32
